title,link,description,date
Vedanta Aluminium receives BIS certification for high-quality 12 mm aluminium wire rods,https://news.metal.com/newscontent/102885969/Vedanta-Aluminium-receives-BIS-certification-for-high-quality-12-mm-aluminium-wire-rods,"Vedanta Aluminium has received a certification from the Bureau of Indian Standards (BIS) for its 12 mm aluminium wire rods manufactured at the BALCO facility in Korba, India. In addition, the company has acquired six renewed certifications for other products.","Aug 2, 2024 17:11"
Bauxite-rich Guinea redrafts political landscape with new constitution,https://news.metal.com/newscontent/102885961/Bauxite-rich-Guinea-redrafts-political-landscape-with-new-constitution,Guinea's military leadership has introduced a draft constitution to reduce presidential terms and limit the number of terms a president can serve the West African nation with the world's largest bauxite reserves on record.,"Aug 2, 2024 17:07"
"Aluminum billets : This week's performance was relatively stable, and the off-season market atmosphere did not see significant improvement",https://news.metal.com/newscontent/102885950/Aluminum-billets-:-This-weeks-performance-was-relatively-stable-and-the-off-season-market-atmosphere-did-not-see-significant-improvement,"Although aluminum billet inventory slightly decreased mid-week, the inventory was affected by low domestic inflow.","Aug 2, 2024 17:02"
"Aluminum ingot inventory built-up showed signs of accelerating, surpassing 800,000 mt this week",https://news.metal.com/newscontent/102885940/Aluminum-ingot-inventory-built-up-showed-signs-of-accelerating-surpassing-800000-mt-this-week,"As of August 1, 2024, SMM reported a total social inventory of aluminum ingots at 814,000 mt, (the amount for sale stood at 688,000 mt), an increase of 24,000 mt WoW and 289,000 mt higher YoY.","Aug 2, 2024 17:01"
"In July, domestic alumina costs increased by 1.77% MoM, with strong support from mining costs",https://news.metal.com/newscontent/102885936/In-July-domestic-alumina-costs-increased-by-177-MoM-with-strong-support-from-mining-costs,"According to the SMM alumina daily cost model, as of July 31, the weighted average total cost of the domestic alumina industry was 2,867.2 yuan/mt, up 49.7 yuan/mt from the end of June, up 1.77% MoM, and up 7.34% YoY.","Aug 2, 2024 16:59"
Aluminum prices to move rangebound due to positive macro front but weak fundamentals,https://news.metal.com/newscontent/102885930/Aluminum-prices-to-move-rangebound-due-to-positive-macro-front-but-weak-fundamentals,"This week, the macro front improved.","Aug 2, 2024 16:57"
SMM Morning Comment For SHFE Base Metals On August 2,https://news.metal.com/newscontent/102883854/SMM-Morning-Comment-For-SHFE-Base-Metals-On-August-2,"Overnight, LME copper opened at $9,112/mt.","Aug 2, 2024 09:40"
SMM Aluminum Market Morning Comment (Aug 2),https://news.metal.com/newscontent/102883822/SMM-Aluminum-Market-Morning-Comment-Aug-2,"The most-traded SHFE 2409 aluminum contract opened at 19,230 yuan/mt overnight, reaching a high of 19,330 yuan/mt and a low of 19,225 yuan/mt, and closed at 19,225 yuan/mt, up 50 yuan/mt, an increase of 0.26%.","Aug 2, 2024 09:30"
"The decline in aluminum prices makes it difficult to drive downstream demand. In July, the domestic aluminum processing sector PMI remained below 50% [SMM Downstream In-depth Analysis]",https://news.metal.com/newscontent/102883178/The-decline-in-aluminum-prices-makes-it-difficult-to-drive-downstream-demand-In-July-the-domestic-aluminum-processing-sector-PMI-remained-below-50-[SMM-Downstream-In-depth-Analysis],"According to SMM data, the comprehensive PMI index of the domestic aluminum processing industry recorded 41.80% in July 2024, up 0.2 percentage points MoM, remaining below 50% for three consecutive months.","Aug 1, 2024 15:45"
Canyon Resources secures mining convention for Minim-Martap Bauxite Project in Cameroon,https://news.metal.com/newscontent/102881445/Canyon-Resources-secures-mining-convention-for-Minim-Martap-Bauxite-Project-in-Cameroon,Canyon Resources Limited has formally signed a mining convention for the Minim-Martap Bauxite Project in Cameroon.,"Aug 1, 2024 09:42"
