title,summary,date,embedding
Vedanta Aluminium receives BIS certification for high-quality 12 mm aluminium wire rods,No summary,2024-08-02 17:11,
Bauxite-rich Guinea redrafts political landscape with new constitution,No summary,2024-08-02 17:07,
"Aluminum billets : This week's performance was relatively stable, and the off-season market atmosphere did not see significant improvement",No summary,2024-08-02 17:02,
"Aluminum ingot inventory built-up showed signs of accelerating, surpassing 800,000 mt this week",No summary,2024-08-02 17:01,
"In July, domestic alumina costs increased by 1.77% MoM, with strong support from mining costs",No summary,2024-08-02 16:59,
Aluminum prices to move rangebound due to positive macro front but weak fundamentals,No summary,2024-08-02 16:57,
SMM Morning Comment For SHFE Base Metals On August 2,No summary,2024-08-02 09:40,
SMM Aluminum Market Morning Comment (Aug 2),No summary,2024-08-02 09:30,
"The decline in aluminum prices makes it difficult to drive downstream demand. In July, the domestic aluminum processing sector PMI remained below 50% [SMM Downstream In-depth Analysis]",No summary,2024-08-01 15:45,
Canyon Resources secures mining convention for Minim-Martap Bauxite Project in Cameroon,No summary,2024-08-01 09:42,
